Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Close Day,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
06/07/2020,WSPU20,3172.0,422.0,3172.83,142.0,3177.73,No,5.35,5.358,280.0,0.0,6197.975000000445,16.919999999999998,3.07,,694.150332,5486.904668000445
07/07/2020,WSPU20,3136.5,273.0,3160.88,353.0,3156.1,No,5.3815,5.358,200.0,-133730.275,3539.143474999173,18.779999999999998,3.07,,580.651818,-130790.56334300082
08/07/2020,WSPU20,3163.5,378.0,3152.3,358.0,3149.04,No,5.385,5.358,220.0,72697.5,-12696.2145000011,22.08,3.07,,621.7744680000001,59357.431031998894
09/07/2020,WSPU20,3142.0,283.0,3151.16,368.0,3140.54,No,5.3629,5.358,135.0,-63416.292499999996,-41958.79330999962,19.529999999999998,3.07,,605.325408,-105999.94121799961
10/07/2020,WSPU20,3178.5,307.0,3160.26,342.0,3161.6,No,5.3201,5.358,100.0,65536.981875,-2395.641030001305,19.47,3.07,,562.557852,62559.31299299869
13/07/2020,WSPU20,3148.25,257.0,3176.97,358.0,3186.63,No,5.3604,5.358,-1.0,-40538.025,85216.95900000122,18.45,3.07,,588.876348,44071.60765200123
14/07/2020,WSPU20,3183.5,208.0,3174.61,176.0,3165.48,No,5.3368,5.358,31.0,-470.3055,-17643.46080000031,11.52,3.07,,342.140448,-18467.426748000307
15/07/2020,WSPU20,3220.0,357.0,3225.96,330.0,3219.63,No,5.3679,5.358,58.0,15184.447124999999,-30192.02194499969,20.61,3.07,,587.231442,-15615.416261999693
16/07/2020,WSPU20,3196.0,646.0,3204.04,283.0,3208.4,No,5.3719,5.358,421.0,-18694.212,-22624.29403999934,27.869999999999997,3.07,,1062.609276,-42408.98531599934
17/07/2020,WSPU20,3214.0,380.0,3221.89,422.0,3216.23,No,5.3838,5.358,379.0,101996.091,-27688.07582999925,24.06,3.07,,694.150332,73589.80483800075
20/07/2020,WSPU20,3245.25,78.0,3236.47,131.0,3226.41,No,5.3348,5.358,326.0,157960.09375,-23782.538400000052,6.27,3.07,,215.48268599999997,133955.80266399996
21/07/2020,WSPU20,3253.5,129.0,3253.9,81.0,3269.18,No,5.1773,5.358,374.0,34810.870875,15771.091259999675,6.3,3.07,,212.192874,50363.46926099967
22/07/2020,WSPU20,3272.5,410.0,3264.17,87.0,3273.26,No,5.106,5.358,697.0,90708.09,44440.32629999986,14.91,3.07,,674.41146,134459.09483999986
23/07/2020,WSPU20,3229.0,247.0,3243.72,260.0,3237.48,No,5.1901,5.358,684.0,-393403.092375,-18568.1017599993,15.209999999999999,3.07,,427.67555999999996,-412414.0796949993
24/07/2020,WSPU20,3204.0,149.0,3209.82,59.0,3216.9,No,5.1888,5.358,774.0,-221821.19999999998,-1376.0697600002468,6.24,3.07,,245.09099399999997,-223448.60075400022
27/07/2020,WSPU20,3232.25,77.0,3225.34,67.0,3231.37,No,5.1564,5.358,784.0,281868.1605,6098.86100999976,4.32,3.07,,126.65776199999999,287836.04374799976
28/07/2020,WSPU20,3213.0,97.0,3235.66,61.0,3218.16,No,5.1422,5.358,820.0,-194015.206,-24210.248929999932,4.74,3.07,,159.555882,-218389.75081199993
29/07/2020,WSPU20,3252.5,82.0,3246.01,51.0,3258.73,No,5.1464,5.358,851.0,416729.74,10934.942059999783,3.9899999999999998,3.07,,134.88229199999998,427525.8097679998
30/07/2020,WSPU20,3274.0,286.0,3230.83,202.0,3227.36,No,5.1494,5.358,935.0,235539.99275,37659.36449000061,14.639999999999999,3.07,,470.4431159999999,272714.2741240006
31/07/2020,WSPU20,3270.0,100.0,3246.45,40.0,3245.88,No,5.2123,5.358,995.0,-48735.005,18115.348650000295,4.2,3.07,,164.4906,-30788.346949999705
03/08/2020,WSPU20,3290.0,0.0,0.0,0.0,0.0,No,5.3175,5.2123,995.0,264545.625,0.0,0.0,3.07,,0.0,264545.625
04/08/2020,WSPU20,3300.75,229.0,3299.79,84.0,3299.76,No,5.3135,5.2123,1140.0,142086.3109375,1815.6229500003544,9.389999999999999,3.07,,366.4403269,143526.10356060037
05/08/2020,WSPU20,3318.0,10.0,3319.3,30.0,3319.47,No,5.3059,5.2123,1120.0,260851.30875000003,412.53372499989626,1.2,3.07,,48.005283,261214.6371919999
06/08/2020,WSPU20,3344.25,543.0,3333.86,115.0,3331.23,No,5.3522,5.2123,1548.0,393386.7,55455.08083499912,19.74,3.07,,868.8956223,447953.14521269914
07/08/2020,WSPU20,3345.0,28.0,3341.68,100.0,3330.7,No,5.4227,5.2123,1476.0,15739.38675,-18125.917020000183,3.84,3.07,,160.01761,-2550.387880000183
10/08/2020,WSPU20,3355.0,13.0,3353.4,99.0,3354.24,No,5.4586,5.2123,1390.0,201422.34,-742.915460000311,3.36,2.84,18.80714285714285,146.54902679999998,200529.5155131997
11/08/2020,WSPU20,3338.0,180.0,3357.99,290.0,3350.57,No,5.3944,5.2123,1280.0,-318674.18,635.1906000011701,14.1,2.84,18.80714285714285,429.285028,-318482.3744279988
12/08/2020,WSPU20,3370.0,160.0,3372.4,80.0,3372.71,No,5.4716,5.2123,1360.0,560291.84,-2287.128800000159,7.199999999999999,2.84,18.80714285714285,236.84691199999997,557760.6642879999
13/08/2020,WSPU20,3374.0,50.0,3370.4,123.0,3377.16,No,5.3758,5.2123,1287.0,73110.88,7642.7748599996985,5.1899999999999995,2.84,18.80714285714285,182.0760636,80566.3887963997
14/08/2020,WSPU20,3363.25,33.0,3370.62,20.0,3367.75,No,5.4358,5.2123,1300.0,-188014.129875,-2082.047294999951,1.5899999999999999,2.84,18.80714285714285,48.849675600000005,-190146.61684559996
17/08/2020,WSPU20,3381.5,8.0,3379.97,48.0,3382.94,No,5.5106,5.2123,1260.0,326847.4625,1120.856040000058,1.68,2.84,13.578571428571427,71.0540736,327895.5844664001
18/08/2020,WSPU20,3390.0,91.0,3387.69,71.0,3381.08,No,5.4765,5.2123,1280.0,146633.2875,-5792.904787500139,4.859999999999999,2.84,13.578571428571427,134.70668120000002,140700.81603129988
19/08/2020,WSPU20,3372.75,23.0,3373.52,84.0,3380.0,No,5.5145,5.2123,1219.0,-304400.4,8151.671762500006,3.21,2.84,13.578571428571427,124.34462880000001,-296376.2828663
20/08/2020,WSPU20,3380.75,35.0,3379.18,134.0,3378.09,No,5.5675,5.2123,1120.0,135735.65,-4196.363937499649,5.069999999999999,2.84,13.578571428571427,198.3592888,131335.85677370033
21/08/2020,WSPU20,3392.5,85.0,3391.19,85.0,3371.48,No,5.6047,5.2123,1120.0,184394.63,-23474.58536250004,5.1,2.84,13.578571428571427,125.824922,160789.11971549995
24/08/2020,WSPU20,3429.75,107.0,3423.96,127.0,3423.37,No,5.5992,5.2123,1100.0,583996.5599999999,-2669.8385400002485,7.02,3.07,9.861904761904762,203.22236469999999,581116.4790952996
25/08/2020,WSPU20,3447.75,84.0,3435.29,144.0,3434.61,No,5.5283,5.2123,1040.0,273650.85,-11685.720539999704,6.84,3.07,9.861904761904762,230.42535840000002,261727.86410160025
26/08/2020,WSPU20,3485.0,69.0,3452.44,109.0,3449.38,No,5.6107,5.2123,1000.0,543396.2949999999,-22946.92139499988,5.34,3.07,9.861904761904762,174.4191949,520269.6144101
27/08/2020,WSPU20,3491.5,53.0,3489.61,153.0,3483.87,No,5.5664,5.2123,900.0,90454.0,-14851.433520000324,6.18,3.07,9.861904761904762,244.8269433,75351.55953669969
28/08/2020,WSPU20,3510.0,84.0,3500.78,84.0,3497.57,No,5.4158,5.2123,900.0,225432.675,-3650.790780000041,5.04,3.07,9.861904761904762,134.41479239999998,221642.42942759994
31/08/2020,WSPU20,3495.0,145.0,3503.9,485.0,3506.7,No,5.4676,5.2123,560.0,-184531.5,59924.89599999861,18.9,3.07,9.678571428571429,776.0854085,-125401.58940850139
01/09/2020,WSPU20,3532.0,117.0,3523.21,277.0,3513.62,No,5.3722,5.4676,400.0,278279.96,-54565.83831500047,11.82,3.07,9.678571428571429,464.9592364,223237.34244859955
02/09/2020,WSPU20,3579.25,238.0,3558.88,258.0,3556.68,No,5.3651,5.4676,380.0,253500.975,-13077.431250000915,14.879999999999999,3.07,9.678571428571429,433.0667256,239975.5970243991
03/09/2020,WSPU20,3463.5,665.0,3483.59,1235.0,3491.57,No,5.2775,5.4676,-190.0,-580327.09375,281113.9537500014,57.0,3.07,9.678571428571429,2073.0132019999996,-301343.1532019986
04/09/2020,WSPU20,3417.5,30.0,3462.58,50.0,3456.8,No,5.303,5.4676,-210.0,115870.55,8121.544500000149,2.4,3.07,9.678571428571429,83.92766,123905.76684000016
08/09/2020,WSPU20,3335.0,1130.0,3349.28,601.0,3361.86,No,5.3586,5.4676,319.0,232094.3625,86.54138999799012,51.93,2.84,15.271428571428574,1754.6621919999998,230374.311697998
09/09/2020,WSPU20,3400.0,374.0,3391.25,413.0,3401.74,No,5.2927,5.4676,280.0,274360.33625,52809.5020599988,23.61,2.84,15.271428571428574,641.3057392,326504.92257079884
10/09/2020,WSPU20,3340.5,472.0,3395.9,392.0,3392.15,No,5.3076,5.4676,360.0,-221061.54,-78313.6380000001,25.919999999999998,2.84,15.271428571428574,732.9208448,-300134.01884480007
11/09/2020,WSPU20,3333.75,544.0,3338.6,304.0,3350.9,No,5.3334,5.4676,600.0,-32400.405000000002,34336.42920000103,25.439999999999998,2.84,15.271428571428574,844.7223296000001,1065.8618704010291
14/09/2020,WSPU20,3381.0,334.0,3383.73,334.0,3386.53,No,5.2682,5.4676,600.0,373383.675,12317.051600000801,20.04,2.84,23.03333333333333,518.6346656,385162.0519344008
15/09/2020,WSPU20,3405.25,267.0,3411.28,195.0,3406.84,No,5.2798,5.4676,672.0,192052.725,-17158.82202000033,13.86,2.84,23.03333333333333,414.59717279999995,174465.4458071997
16/09/2020,WSPU20,3392.75,182.0,3408.78,248.0,3407.8,No,5.2305,5.4676,606.0,-109840.5,10656.359175000114,12.9,2.84,23.03333333333333,385.0940032,-99582.1348281999
17/09/2020,WSPU20,3361.5,283.0,3346.32,289.0,3350.7,No,5.2408,5.4676,600.0,-248119.125,15391.4434799987,17.16,2.84,23.03333333333333,448.7587376000001,-233193.6002576013
18/09/2020,WSPU20,3353.6,0.0,0.0,600.0,3353.6,No,5.4045,5.4676,0.0,-64043.32500000073,0.0,18.0,2.84,23.03333333333333,931.67904,-64993.004040000735
