Date,Ticker,Px Close,Buy Quant,Buy Price,Sell Quant,Sell Price,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
11/08/2020,WSPZ20,3342.0,20.0,3374.75,0.0,0.0,5.3944,5.2123,20.0,0.0,-8833.33,0.6,2.84,18.80714285714285,29.605863999999997,-8863.535864
12/08/2020,WSPZ20,3376.0,0.0,0.0,0.0,0.0,5.4716,5.2123,20.0,9301.72,0.0,0.0,2.84,18.80714285714285,0.0,9301.72
13/08/2020,WSPZ20,3377.0,0.0,0.0,0.0,0.0,5.3758,5.2123,20.0,268.79,0.0,0.0,2.84,18.80714285714285,0.0,268.79
14/08/2020,WSPZ20,3368.0,0.0,0.0,0.0,0.0,5.4358,5.2123,20.0,-2446.11,0.0,0.0,2.84,18.80714285714285,0.0,-2446.11
17/08/2020,WSPZ20,3383.75,0.0,0.0,0.0,0.0,5.5106,5.2123,20.0,4339.5975,0.0,0.0,2.84,13.578571428571427,0.0,4339.5975
18/08/2020,WSPZ20,3390.0,0.0,0.0,0.0,0.0,5.4765,5.2123,20.0,1711.40625,0.0,0.0,2.84,13.578571428571427,0.0,1711.40625
19/08/2020,WSPZ20,3374.0,0.0,0.0,0.0,0.0,5.5145,5.2123,20.0,-4411.6,0.0,0.0,2.84,13.578571428571427,0.0,-4411.6
20/08/2020,WSPZ20,3385.0,0.0,0.0,0.0,0.0,5.5675,5.2123,20.0,3062.125,0.0,0.0,2.84,13.578571428571427,0.0,3062.125
21/08/2020,WSPZ20,3394.0,0.0,0.0,0.0,0.0,5.6047,5.2123,20.0,2522.1150000000002,0.0,0.0,2.84,13.578571428571427,0.0,2522.1150000000002
24/08/2020,WSPZ20,3427.0,40.0,3423.75,0.0,0.0,5.5992,5.2123,60.0,9238.68,1819.74,1.2,3.07,9.861904761904762,64.007044,10993.212956
25/08/2020,WSPZ20,3444.0,0.0,0.0,0.0,0.0,5.5283,5.2123,60.0,14097.164999999999,0.0,0.0,3.07,9.861904761904762,0.0,14097.164999999999
26/08/2020,WSPZ20,3483.0,0.0,0.0,0.0,0.0,5.6107,5.2123,60.0,32822.594999999994,0.0,0.0,3.07,9.861904761904762,0.0,32822.594999999994
27/08/2020,WSPZ20,3488.0,0.0,0.0,0.0,0.0,5.5664,5.2123,60.0,4174.8,0.0,0.0,3.07,9.861904761904762,0.0,4174.8
28/08/2020,WSPZ20,3509.25,0.0,0.0,0.0,0.0,5.4158,5.2123,60.0,17262.8625,0.0,0.0,3.07,9.861904761904762,0.0,17262.8625
31/08/2020,WSPZ20,3497.0,0.0,0.0,0.0,0.0,5.4676,5.2123,60.0,-10046.715,0.0,0.0,3.07,9.678571428571429,0.0,-10046.715
01/09/2020,WSPZ20,3535.0,0.0,0.0,0.0,0.0,5.3722,5.4676,60.0,30621.54,0.0,0.0,3.07,9.678571428571429,0.0,30621.54
02/09/2020,WSPZ20,3583.0,0.0,0.0,0.0,0.0,5.3651,5.4676,60.0,38628.72,0.0,0.0,3.07,9.678571428571429,0.0,38628.72
03/09/2020,WSPZ20,3471.75,0.0,0.0,0.0,0.0,5.2775,5.4676,60.0,-88068.28125,0.0,0.0,3.07,9.678571428571429,0.0,-88068.28125
04/09/2020,WSPZ20,3427.0,0.0,0.0,0.0,0.0,5.303,5.4676,60.0,-35596.3875,0.0,0.0,3.07,9.678571428571429,0.0,-35596.3875
08/09/2020,WSPZ20,3347.0,0.0,0.0,0.0,0.0,5.3586,5.4676,60.0,-64303.2,0.0,0.0,2.84,15.271428571428574,0.0,-64303.2
09/09/2020,WSPZ20,3408.0,0.0,0.0,0.0,0.0,5.2927,5.4676,60.0,48428.205,0.0,0.0,2.84,15.271428571428574,0.0,48428.205
10/09/2020,WSPZ20,3350.0,0.0,0.0,0.0,0.0,5.3076,5.4676,60.0,-46176.119999999995,0.0,0.0,2.84,15.271428571428574,0.0,-46176.119999999995
11/09/2020,WSPZ20,3344.0,0.0,0.0,0.0,0.0,5.3334,5.4676,60.0,-4800.06,0.0,0.0,2.84,15.271428571428574,0.0,-4800.06
14/09/2020,WSPZ20,3382.0,0.0,0.0,0.0,0.0,5.2682,5.4676,60.0,30028.74,0.0,0.0,2.84,23.03333333333333,0.0,30028.74
15/09/2020,WSPZ20,3405.0,0.0,0.0,0.0,0.0,5.2798,5.4676,60.0,18215.309999999998,0.0,0.0,2.84,23.03333333333333,0.0,18215.309999999998
16/09/2020,WSPZ20,3389.0,140.0,3418.5,140.0,3416.82,5.2305,5.4676,60.0,-12553.2,-3075.5339999997004,8.4,2.84,23.03333333333333,217.391776,-15854.525775999702
17/09/2020,WSPZ20,3358.0,540.0,3351.25,540.0,3355.8,5.2408,5.4676,60.0,-24369.72,32191.61400000129,32.4,2.84,23.03333333333333,838.511136,6950.982864001288
18/09/2020,WSPZ20,3319.0,770.0,3335.7,754.0,3337.61,5.4045,5.4676,76.0,-31616.324999999997,15847.885575003202,45.72,2.84,23.03333333333333,1195.6547679999999,-17009.814192996793
21/09/2020,WSPZ20,3283.0,614.0,3275.39,458.0,3260.02,5.4155,5.4676,232.0,-37042.02,-79232.82662499904,32.16,2.61,35.09285714285714,876.2047704000001,-117183.21139539905
22/09/2020,WSPZ20,3305.75,415.0,3296.14,472.0,3295.09,5.4649,5.4676,175.0,72109.3555,-14254.781782498341,26.61,2.61,35.09285714285714,673.5645792,57154.39913830166
23/09/2020,WSPZ20,3238.0,592.0,3261.75,523.0,3263.09,5.5675,5.4676,244.0,-165024.1796875,-13054.813187498941,33.449999999999996,2.61,35.09285714285714,844.8098112,-178957.25268619895
24/09/2020,WSPZ20,3244.0,797.0,3232.24,677.0,3237.61,5.5062,5.4676,364.0,20152.692,69470.21119500359,44.22,2.61,35.09285714285714,1137.3537492000003,88441.32944580358
25/09/2020,WSPZ20,3287.25,376.0,3258.24,421.0,3257.78,5.5526,5.4676,319.0,218536.4545,-20809.895464997684,23.91,2.61,35.09285714285714,600.7853556,197101.8636794023
28/09/2020,WSPZ20,3346.0,464.0,3343.23,443.0,3343.95,5.6211,5.4676,340.0,263366.1009375,5299.713607498749,27.209999999999997,2.61,45.392857142857146,662.1482304000001,267976.45631459873
29/09/2020,WSPZ20,3333.75,496.0,3335.98,888.0,3336.87,5.6409,5.4676,-52.0,-58735.871250000004,23472.913079998507,41.519999999999996,2.61,45.392857142857146,1267.2147168000001,-36571.692886801495
30/09/2020,WSPZ20,3342.25,323.0,3342.13,201.0,3351.05,5.6298,5.4676,70.0,-6220.929,25440.50322000002,15.719999999999999,2.61,45.392857142857146,460.9350828,18742.91913720002
01/10/2020,WSPZ20,3367.75,569.0,3374.94,849.0,3373.99,5.6472,5.6298,-210.0,25200.629999999997,17035.484699996945,42.54,2.61,45.392857142857146,1247.5017522,40946.07294779694
02/10/2020,WSPZ20,3339.25,726.0,3340.76,810.0,3342.66,5.6565,5.6298,-294.0,84635.38125,23557.059899996093,46.08,2.61,45.392857142857146,1190.196018,106956.1651319961
05/10/2020,WSPZ20,3393.0,308.0,3395.39,248.0,3388.7,5.5812,5.6298,-234.0,-220492.2825,-25150.561560000082,16.68,2.37,54.61904761904763,410.9528808,-246070.4769408001
06/10/2020,WSPZ20,3337.0,772.0,3384.23,612.0,3387.79,5.5693,5.6298,-74.0,182450.268,-74880.35236000048,41.519999999999996,2.37,54.61904761904763,1030.0507272000002,106498.34491279953
07/10/2020,WSPZ20,3412.0,305.0,3405.34,271.0,3404.4,5.6135,5.6298,-40.0,-77887.3125,-397.155125000277,46.08,2.37,54.61904761904763,406.9500930000001,-78737.49771800029
08/10/2020,WSPZ20,3450.75,313.0,3437.09,153.0,3440.79,5.5921,5.6298,120.0,-21669.3875,38469.45392499929,37.28,2.37,54.61904761904763,417.6241938000001,16345.162231199289
09/10/2020,WSPZ20,3483.0,202.0,3470.0,223.0,3467.83,5.5372,5.6298,99.0,53572.41,-10477.905130000225,34.0,2.37,54.61904761904763,297.54055980000004,42762.96431019978
13/10/2020,WSPZ20,3505.25,413.0,3515.67,332.0,3515.03,5.577000000000001,5.6298,180.0,30711.841875000006,-14730.251249999495,59.6,2.61,49.964285714285715,606.8530314,15315.13759360051
14/10/2020,WSPZ20,3481.0,283.0,3492.06,303.0,3491.52,5.5942,5.6298,160.0,-61046.7075,805.2850900001389,46.88,2.61,49.964285714285715,445.22147340000004,-60733.52388339986
15/10/2020,WSPZ20,3475.5,546.0,3460.95,506.0,3459.05,5.5984,5.6298,200.0,-12316.48,-5310.082399997322,84.16,2.61,49.964285714285715,802.2802788,-18513.002678797322
16/10/2020,WSPZ20,3462.25,274.0,3484.61,117.0,3489.31,5.6388,5.6298,357.0,-37357.049999999996,-41735.86014000058,31.28,2.61,49.964285714285715,402.6095172,-79526.79965720058
19/10/2020,WSPZ20,3422.75,490.0,3466.38,327.0,3462.82,5.5928,5.6298,520.0,-197167.173,-115712.37542000001,65.36,3.07,50.1690476190476,846.890814,-313791.799234
20/10/2020,WSPZ20,3432.25,428.0,3446.7,370.0,3444.86,5.579,5.6298,578.0,68900.65,-21184.857749998257,63.84,3.07,50.1690476190476,739.7332008000001,46912.21904920174
21/10/2020,WSPZ20,3432.5,103.0,3443.62,177.0,3439.43,5.6071,5.6298,504.0,2025.564875,1138.9421874997513,22.400000000000002,3.07,50.1690476190476,305.91770220000006,2836.1893602997516
22/10/2020,WSPZ20,3449.25,0.0,0.0,0.0,0.0,5.5973,5.6298,504.0,118131.0165,0.0,0.0,3.07,50.1690476190476,0.0,118131.0165
23/10/2020,WSPZ20,3451.75,0.0,0.0,7.0,3459.5,5.6199,5.6298,497.0,17702.685,762.1989375,0.56,3.07,50.1690476190476,12.0984402,18452.2254973
26/10/2020,WSPZ20,3393.5,963.0,3388.14,571.0,3396.03,5.6244,5.6298,889.0,-407069.46524999995,92891.32491000331,122.72,2.61,38.38809523809524,1415.0108214000002,-315715.8711613966
27/10/2020,WSPZ20,3383.0,75.0,3384.74,41.0,3396.03,5.6708,5.6298,923.0,-132335.2065,5723.680210000348,9.28,2.61,38.38809523809524,110.20333500000002,-126731.00962499966
28/10/2020,WSPZ20,3270.25,505.0,3305.67,380.0,3299.65,5.7334,5.6298,1048.0,-1491662.261375,-96250.88584999999,70.8,2.61,38.38809523809524,742.035789,-1588725.983014
29/10/2020,WSPZ20,3286.0,1382.0,3297.25,782.0,3295.23,5.7586,5.6298,1648.0,237628.62900000002,-119917.6622599998,173.12,2.61,38.38809523809524,2030.6801196000001,115507.16662040022
30/10/2020,WSPZ20,3264.75,236.0,3265.67,456.0,3278.24,5.7442,5.6298,1428.0,-502904.71,85219.80235999833,55.36,2.61,38.38809523809524,670.0362768,-418410.30391680164
02/11/2020,WSPZ20,3264.75,0.0,0.0,0.0,0.0,5.7442,5.7442,1428.0,-0.0,0.0,0.0,2.61,39.11428571428572,0.0,0.0
03/11/2020,WSPZ20,3375.25,378.0,3345.69,162.0,3354.53,5.7466,5.7442,1644.0,2266947.501,112303.50516000016,43.2,2.61,39.11428571428572,566.7112836,2378641.0948764
04/11/2020,WSPZ20,3434.0,197.0,3436.95,393.0,3426.28,5.656000000000001,5.7442,1448.0,1365711.9000000001,-51117.65539999839,47.2,2.61,39.11428571428572,589.1998266,1313957.8447734017
05/11/2020,WSPZ20,3505.0,142.0,3504.78,202.0,3506.84,5.5728,5.7442,1388.0,1432321.056,5613.481440000013,27.52,2.61,39.11428571428572,302.8457124000001,1437604.1717276
06/11/2020,WSPZ20,3504.0,247.0,3500.53,231.0,3499.77,5.4317,5.7442,1404.0,-18847.999,-1630.0531700007282,38.24,2.61,39.11428571428572,370.3113414,-20886.603511400728
09/11/2020,WSPZ20,3555.0,540.0,3625.43,458.0,3621.63,5.4129,5.7442,1486.0,968963.2289999999,-101703.79003499808,79.84,2.61,30.738095238095237,809.587548,866370.0114170018
10/11/2020,WSPZ20,3545.0,125.0,3542.96,351.0,3542.18,5.3816,5.7442,1260.0,-199926.44,-9886.268280000833,38.08,2.61,30.738095238095237,526.2319062,-210377.02018620083
11/11/2020,WSPZ20,3568.0,7.0,3572.36,64.0,3576.44,5.4145,5.7442,1203.0,392280.525,6898.6144500000355,5.68,2.61,30.738095238095237,95.95111680000001,399077.50833320006
12/11/2020,WSPZ20,3529.0,528.0,3537.19,291.0,3543.38,5.4564,5.7442,1440.0,-639994.797,-1906.19333999996,65.52,2.61,30.738095238095237,791.5967136,-642758.1070536
13/11/2020,WSPZ20,3586.25,181.0,3572.53,101.0,3564.04,5.4688,5.7442,1520.0,1127119.68,3282.7839199994546,22.56,2.61,30.738095238095237,271.3617522,1130108.5421677993
16/11/2020,WSPZ20,3620.5,43.0,3615.1,143.0,3616.0,5.4273,5.7442,1420.0,706363.095,-5580.621224999947,14.88,2.61,29.242857142857144,214.39077659999998,700553.2029984001
17/11/2020,WSPZ20,3610.0,273.0,3615.78,213.0,3612.26,5.3616,5.7442,1480.0,-199853.64,-14698.290240000111,38.88,2.61,29.242857142857144,409.29148260000005,-215000.10172260014
18/11/2020,WSPZ20,3570.0,47.0,3605.18,107.0,3607.03,5.3202,5.7442,1420.0,-787389.6,30707.529375000388,12.32,2.61,29.242857142857144,160.4182734,-756854.8088983996
19/11/2020,WSPZ20,3580.0,63.0,3577.01,98.0,3569.54,5.3106,5.7442,1385.0,188526.3,-11108.58031500023,12.88,2.61,29.242857142857144,146.92514760000003,177257.91453739975
20/11/2020,WSPZ20,3555.0,35.0,3576.15,60.0,3576.25,5.3817,5.7442,1360.0,-465853.40625000006,7194.660187499958,7.6000000000000005,2.61,29.242857142857144,89.954172,-458756.3002345001
23/11/2020,WSPZ20,3570.5,15.0,3575.17,5.0,3578.5,5.4423,5.7442,1370.0,286809.21,-408.85278750001487,1.6,2.61,26.376190476190477,22.488543,286376.2686695
24/11/2020,WSPZ20,3635.0,49.0,3617.54,59.0,3607.17,5.3839,5.7442,1360.0,1189370.8087499999,-10585.151192499918,8.64,2.61,26.376190476190477,88.45493579999999,1178688.5626216999
25/11/2020,WSPZ20,3629.0,8.0,3629.0,108.0,3632.1,5.3198,5.7442,1260.0,-108523.92,4452.672599999869,9.28,2.61,26.376190476190477,161.91750960000002,-104242.44490960012
26/11/2020,WSPZ20,3617.0,11.0,3628.05,111.0,3625.22,5.3169,5.7442,1160.0,-200978.82,10512.441757499679,9.76,2.61,26.376190476190477,166.41521820000003,-190642.55346070035
27/11/2020,WSPZ20,3636.0,60.0,3638.85,20.0,3646.25,5.3397,5.7442,1200.0,294217.47,453.8745000000728,6.4,2.61,26.376190476190477,89.954172,294574.99032800004
30/11/2020,WSPZ20,3618.75,62.0,3635.26,42.0,3623.86,5.3539,5.7442,1220.0,-277064.325,-10828.26275000011,8.32,2.84,16.233333333333338,101.1438736,-288002.0516236001
01/12/2020,WSPZ20,3664.0,252.0,3668.09,81.0,3668.6,5.2352,5.3539,1391.0,722523.04,-8612.951040000577,26.64,2.84,16.233333333333338,383.16791520000004,713500.2810447995
02/12/2020,WSPZ20,3667.25,22.0,3666.98,33.0,3655.59,5.2461,5.3539,1380.0,59290.7664375,-4968.581309999942,4.4,2.84,16.233333333333338,50.17675080000001,54267.60837670006
03/12/2020,WSPZ20,3665.0,242.0,3676.3,66.0,3676.53,5.1625,5.3539,1556.0,-40073.90625,-25472.0331250004,24.64,2.84,16.233333333333338,367.9628392,-65938.5422142004
04/12/2020,WSPZ20,3699.75,10.0,3690.3,26.0,3688.25,5.1370000000000005,5.3539,1540.0,694406.8175,-2626.2912500000234,2.88,2.84,16.233333333333338,39.53319760000001,691738.1130524
07/12/2020,WSPZ20,3692.0,24.0,3691.05,24.0,3687.43,5.0878,5.3539,1540.0,-151807.23249999998,-1105.0701600001055,3.84,2.84,13.066666666666668,36.492182400000004,-152952.6348424001
08/12/2020,WSPZ20,3702.0,8.0,3686.22,108.0,3700.74,5.1118,5.3539,1440.0,196804.3,-125.7502800002808,9.28,2.84,13.066666666666668,164.21482079999998,196505.05489919972
09/12/2020,WSPZ20,3677.0,26.0,3670.95,126.0,3669.74,5.1797,5.3539,1340.0,-466173.00000000006,-9808.538905000296,12.16,2.84,13.066666666666668,191.58395760000002,-476185.28286260035
10/12/2020,WSPZ20,3675.25,99.0,3666.49,79.0,3668.65,5.0511,5.3539,1360.0,-29612.07375,4367.181060000364,14.24,2.84,13.066666666666668,150.5302524,-25409.66294239964
11/12/2020,WSPZ20,3661.25,0.0,0.0,0.0,0.0,5.0611,5.3539,1360.0,-240908.36,0.0,0.0,2.84,13.066666666666668,0.0,-240908.36
14/12/2020,WSPZ20,3648.5,40.0,3670.63,0.0,0.0,5.1158,5.3539,1400.0,-221769.93,-11321.265400000057,3.2,3.07,7.476190476190477,65.74589200000001,-233160.14129200007
15/12/2020,WSPZ20,3694.5,0.0,0.0,8.0,3696.5,5.0882,5.3539,1392.0,819200.2,203.528,0.64,3.07,7.476190476190477,13.1491784,819389.9388215999
16/12/2020,WSPZ20,3706.0,8.0,3699.31,0.0,0.0,5.1144,5.3539,1400.0,204678.288,684.3067200000056,0.64,3.07,7.476190476190477,13.1491784,205348.80554159998
17/12/2020,WSPZ20,3722.0,0.0,0.0,0.0,0.0,5.0757,5.3539,1400.0,284239.2,0.0,0.0,3.07,7.476190476190477,0.0,284239.2
18/12/2020,WSPZ20,3726.25,0.0,0.0,1400.0,3726.25,5.0917,5.3539,0.0,75739.0375,0.0,112.0,3.07,7.476190476190477,2301.10622,73325.93128
